session_id,station_id,energy_kwh,duration_min,city 
1,ST1,10.5,30,HCMC 
2,ST2,10.5,30,HCMC 
3,ST3,10.5,30,HCMC 
4,ST4,10.5,30,HCMC 
5,ST5,10.5,30,HCMC 
6,ST6,10.5,30,HCMC 
7,ST7,10.5,30,HCMC 
8,ST8,10.5,30,HCMC 
9,ST9,10.5,30,HCMC 
10,ST10,10.5,30,HCMC 
11,ST11,10.5,30,HCMC 
12,ST12,10.5,30,HCMC 
13,ST13,10.5,30,HCMC 
14,ST14,10.5,30,HCMC 
15,ST15,10.5,30,HCMC 
16,ST16,10.5,30,HCMC 
17,ST17,10.5,30,HCMC 
18,ST18,10.5,30,HCMC 
19,ST19,10.5,30,HCMC 
20,ST20,10.5,30,HCMC 
21,ST21,10.5,30,HCMC 
22,ST22,10.5,30,HCMC 
23,ST23,10.5,30,HCMC 
24,ST24,10.5,30,HCMC 
25,ST25,10.5,30,HCMC 
26,ST26,10.5,30,HCMC 
27,ST27,10.5,30,HCMC 
28,ST28,10.5,30,HCMC 
29,ST29,10.5,30,HCMC 
30,ST30,10.5,30,HCMC 
31,ST31,10.5,30,HCMC 
32,ST32,10.5,30,HCMC 
33,ST33,10.5,30,HCMC 
34,ST34,10.5,30,HCMC 
35,ST35,10.5,30,HCMC 
36,ST36,10.5,30,HCMC 
37,ST37,10.5,30,HCMC 
38,ST38,10.5,30,HCMC 
39,ST39,10.5,30,HCMC 
40,ST40,10.5,30,HCMC 
41,ST41,10.5,30,HCMC 
42,ST42,10.5,30,HCMC 
43,ST43,10.5,30,HCMC 
44,ST44,10.5,30,HCMC 
45,ST45,10.5,30,HCMC 
46,ST46,10.5,30,HCMC 
47,ST47,10.5,30,HCMC 
48,ST48,10.5,30,HCMC 
49,ST49,10.5,30,HCMC 
50,ST50,10.5,30,HCMC 
51,ST51,10.5,30,HCMC 
52,ST52,10.5,30,HCMC 
53,ST53,10.5,30,HCMC 
54,ST54,10.5,30,HCMC 
55,ST55,10.5,30,HCMC 
56,ST56,10.5,30,HCMC 
57,ST57,10.5,30,HCMC 
58,ST58,10.5,30,HCMC 
59,ST59,10.5,30,HCMC 
60,ST60,10.5,30,HCMC 
61,ST61,10.5,30,HCMC 
62,ST62,10.5,30,HCMC 
63,ST63,10.5,30,HCMC 
64,ST64,10.5,30,HCMC 
65,ST65,10.5,30,HCMC 
66,ST66,10.5,30,HCMC 
67,ST67,10.5,30,HCMC 
68,ST68,10.5,30,HCMC 
69,ST69,10.5,30,HCMC 
70,ST70,10.5,30,HCMC 
71,ST71,10.5,30,HCMC 
72,ST72,10.5,30,HCMC 
73,ST73,10.5,30,HCMC 
74,ST74,10.5,30,HCMC 
75,ST75,10.5,30,HCMC 
76,ST76,10.5,30,HCMC 
77,ST77,10.5,30,HCMC 
78,ST78,10.5,30,HCMC 
79,ST79,10.5,30,HCMC 
80,ST80,10.5,30,HCMC 
81,ST81,10.5,30,HCMC 
82,ST82,10.5,30,HCMC 
83,ST83,10.5,30,HCMC 
84,ST84,10.5,30,HCMC 
85,ST85,10.5,30,HCMC 
86,ST86,10.5,30,HCMC 
87,ST87,10.5,30,HCMC 
88,ST88,10.5,30,HCMC 
89,ST89,10.5,30,HCMC 
90,ST90,10.5,30,HCMC 
91,ST91,10.5,30,HCMC 
92,ST92,10.5,30,HCMC 
93,ST93,10.5,30,HCMC 
94,ST94,10.5,30,HCMC 
95,ST95,10.5,30,HCMC 
96,ST96,10.5,30,HCMC 
97,ST97,10.5,30,HCMC 
98,ST98,10.5,30,HCMC 
99,ST99,10.5,30,HCMC 
100,ST100,10.5,30,HCMC 
101,ST101,10.5,30,HCMC 
102,ST102,10.5,30,HCMC 
103,ST103,10.5,30,HCMC 
104,ST104,10.5,30,HCMC 
105,ST105,10.5,30,HCMC 
106,ST106,10.5,30,HCMC 
107,ST107,10.5,30,HCMC 
108,ST108,10.5,30,HCMC 
109,ST109,10.5,30,HCMC 
110,ST110,10.5,30,HCMC 
111,ST111,10.5,30,HCMC 
112,ST112,10.5,30,HCMC 
113,ST113,10.5,30,HCMC 
114,ST114,10.5,30,HCMC 
115,ST115,10.5,30,HCMC 
116,ST116,10.5,30,HCMC 
117,ST117,10.5,30,HCMC 
118,ST118,10.5,30,HCMC 
119,ST119,10.5,30,HCMC 
120,ST120,10.5,30,HCMC 
121,ST121,10.5,30,HCMC 
122,ST122,10.5,30,HCMC 
123,ST123,10.5,30,HCMC 
124,ST124,10.5,30,HCMC 
125,ST125,10.5,30,HCMC 
126,ST126,10.5,30,HCMC 
127,ST127,10.5,30,HCMC 
128,ST128,10.5,30,HCMC 
129,ST129,10.5,30,HCMC 
130,ST130,10.5,30,HCMC 
131,ST131,10.5,30,HCMC 
132,ST132,10.5,30,HCMC 
133,ST133,10.5,30,HCMC 
134,ST134,10.5,30,HCMC 
135,ST135,10.5,30,HCMC 
136,ST136,10.5,30,HCMC 
137,ST137,10.5,30,HCMC 
138,ST138,10.5,30,HCMC 
139,ST139,10.5,30,HCMC 
140,ST140,10.5,30,HCMC 
141,ST141,10.5,30,HCMC 
142,ST142,10.5,30,HCMC 
143,ST143,10.5,30,HCMC 
144,ST144,10.5,30,HCMC 
145,ST145,10.5,30,HCMC 
146,ST146,10.5,30,HCMC 
147,ST147,10.5,30,HCMC 
148,ST148,10.5,30,HCMC 
149,ST149,10.5,30,HCMC 
150,ST150,10.5,30,HCMC 
151,ST151,10.5,30,HCMC 
152,ST152,10.5,30,HCMC 
153,ST153,10.5,30,HCMC 
154,ST154,10.5,30,HCMC 
155,ST155,10.5,30,HCMC 
156,ST156,10.5,30,HCMC 
157,ST157,10.5,30,HCMC 
158,ST158,10.5,30,HCMC 
159,ST159,10.5,30,HCMC 
160,ST160,10.5,30,HCMC 
161,ST161,10.5,30,HCMC 
162,ST162,10.5,30,HCMC 
163,ST163,10.5,30,HCMC 
164,ST164,10.5,30,HCMC 
165,ST165,10.5,30,HCMC 
166,ST166,10.5,30,HCMC 
167,ST167,10.5,30,HCMC 
168,ST168,10.5,30,HCMC 
169,ST169,10.5,30,HCMC 
170,ST170,10.5,30,HCMC 
171,ST171,10.5,30,HCMC 
172,ST172,10.5,30,HCMC 
173,ST173,10.5,30,HCMC 
174,ST174,10.5,30,HCMC 
175,ST175,10.5,30,HCMC 
176,ST176,10.5,30,HCMC 
177,ST177,10.5,30,HCMC 
178,ST178,10.5,30,HCMC 
179,ST179,10.5,30,HCMC 
180,ST180,10.5,30,HCMC 
181,ST181,10.5,30,HCMC 
182,ST182,10.5,30,HCMC 
183,ST183,10.5,30,HCMC 
184,ST184,10.5,30,HCMC 
185,ST185,10.5,30,HCMC 
186,ST186,10.5,30,HCMC 
187,ST187,10.5,30,HCMC 
188,ST188,10.5,30,HCMC 
189,ST189,10.5,30,HCMC 
190,ST190,10.5,30,HCMC 
191,ST191,10.5,30,HCMC 
192,ST192,10.5,30,HCMC 
193,ST193,10.5,30,HCMC 
194,ST194,10.5,30,HCMC 
195,ST195,10.5,30,HCMC 
196,ST196,10.5,30,HCMC 
197,ST197,10.5,30,HCMC 
198,ST198,10.5,30,HCMC 
199,ST199,10.5,30,HCMC 
200,ST200,10.5,30,HCMC 
201,ST201,10.5,30,HCMC 
202,ST202,10.5,30,HCMC 
203,ST203,10.5,30,HCMC 
204,ST204,10.5,30,HCMC 
205,ST205,10.5,30,HCMC 
206,ST206,10.5,30,HCMC 
207,ST207,10.5,30,HCMC 
208,ST208,10.5,30,HCMC 
209,ST209,10.5,30,HCMC 
210,ST210,10.5,30,HCMC 
211,ST211,10.5,30,HCMC 
212,ST212,10.5,30,HCMC 
213,ST213,10.5,30,HCMC 
214,ST214,10.5,30,HCMC 
215,ST215,10.5,30,HCMC 
216,ST216,10.5,30,HCMC 
217,ST217,10.5,30,HCMC 
218,ST218,10.5,30,HCMC 
219,ST219,10.5,30,HCMC 
220,ST220,10.5,30,HCMC 
221,ST221,10.5,30,HCMC 
222,ST222,10.5,30,HCMC 
223,ST223,10.5,30,HCMC 
224,ST224,10.5,30,HCMC 
225,ST225,10.5,30,HCMC 
226,ST226,10.5,30,HCMC 
227,ST227,10.5,30,HCMC 
228,ST228,10.5,30,HCMC 
229,ST229,10.5,30,HCMC 
230,ST230,10.5,30,HCMC 
231,ST231,10.5,30,HCMC 
232,ST232,10.5,30,HCMC 
233,ST233,10.5,30,HCMC 
234,ST234,10.5,30,HCMC 
235,ST235,10.5,30,HCMC 
236,ST236,10.5,30,HCMC 
237,ST237,10.5,30,HCMC 
238,ST238,10.5,30,HCMC 
239,ST239,10.5,30,HCMC 
240,ST240,10.5,30,HCMC 
241,ST241,10.5,30,HCMC 
242,ST242,10.5,30,HCMC 
243,ST243,10.5,30,HCMC 
244,ST244,10.5,30,HCMC 
245,ST245,10.5,30,HCMC 
246,ST246,10.5,30,HCMC 
247,ST247,10.5,30,HCMC 
248,ST248,10.5,30,HCMC 
249,ST249,10.5,30,HCMC 
250,ST250,10.5,30,HCMC 
251,ST251,10.5,30,HCMC 
252,ST252,10.5,30,HCMC 
253,ST253,10.5,30,HCMC 
254,ST254,10.5,30,HCMC 
255,ST255,10.5,30,HCMC 
256,ST256,10.5,30,HCMC 
257,ST257,10.5,30,HCMC 
258,ST258,10.5,30,HCMC 
259,ST259,10.5,30,HCMC 
260,ST260,10.5,30,HCMC 
261,ST261,10.5,30,HCMC 
262,ST262,10.5,30,HCMC 
263,ST263,10.5,30,HCMC 
264,ST264,10.5,30,HCMC 
